#timebase=1136082944(ps)
,#voltbase=5000000(uV)
#size=4064
2.88800E+00,10.800
2.89200E+00,10.400
2.89600E+00,10.800
2.90000E+00,10.400
2.90400E+00,10.400
2.90800E+00,10.600
2.91200E+00,10.600
2.91600E+00,10.600
2.92000E+00,10.800
2.92400E+00,10.400
2.92800E+00,10.800
2.93200E+00,10.600
2.93600E+00,10.800
2.94000E+00,10.400
2.94400E+00,10.400
2.94800E+00,10.400
2.95200E+00,10.800
2.95600E+00,10.800
2.96000E+00,10.600
2.96400E+00,10.600
2.96800E+00,10.800
2.97200E+00,10.800
2.97600E+00,10.600
2.98000E+00,10.600
2.98400E+00,10.800
2.98800E+00,10.600
2.99200E+00,10.800
2.99600E+00,10.400
3.00000E+00,10.800
3.00400E+00,10.600
3.00800E+00,10.600
3.01200E+00,10.600
3.01600E+00,10.800
3.02000E+00,10.800
3.02400E+00,10.600
3.02800E+00,10.600
3.03200E+00,10.800
3.03600E+00,10.600
3.04000E+00,10.600
3.04400E+00,10.400
3.04800E+00,10.800
3.05200E+00,10.800
3.05600E+00,10.600
3.06000E+00,10.600
3.06400E+00,10.600
3.06800E+00,10.800
3.07200E+00,10.800
3.07600E+00,10.600
3.08000E+00,10.600
3.08400E+00,10.600
3.08800E+00,10.800
3.09200E+00,10.600
3.09600E+00,10.800
3.10000E+00,10.800
3.10400E+00,10.600
3.10800E+00,10.800
3.11200E+00,10.600
3.11600E+00,10.600
3.12000E+00,10.800
3.12400E+00,10.600
3.12800E+00,10.600
3.13200E+00,10.800
3.13600E+00,10.600
3.14000E+00,10.800
3.14400E+00,10.800
3.14800E+00,10.600
3.15200E+00,10.800
3.15600E+00,10.600
3.16000E+00,10.800
3.16400E+00,10.600
3.16800E+00,10.600
3.17200E+00,10.600
3.17600E+00,10.600
3.18000E+00,10.600
3.18400E+00,10.600
3.18800E+00,10.600
3.19200E+00,10.800
3.19600E+00,10.800
3.20000E+00,10.600
3.20400E+00,10.600
3.20800E+00,10.600
3.21200E+00,10.800
3.21600E+00,10.800
3.22000E+00,10.600
3.22400E+00,10.800
3.22800E+00,10.600
3.23200E+00,10.600
3.23600E+00,10.800
3.24000E+00,10.800
3.24400E+00,10.600
3.24800E+00,10.800
3.25200E+00,10.600
3.25600E+00,10.600
3.26000E+00,10.800
3.26400E+00,10.600
3.26800E+00,10.600
3.27200E+00,10.800
3.27600E+00,10.800
3.28000E+00,10.600
3.28400E+00,10.600
3.28800E+00,10.800
3.29200E+00,10.600
3.29600E+00,10.600
3.30000E+00,11.000
3.30400E+00,10.600
3.30800E+00,10.600
3.31200E+00,10.600
3.31600E+00,10.600
3.32000E+00,10.800
3.32400E+00,10.600
3.32800E+00,10.800
3.33200E+00,10.600
3.33600E+00,10.600
3.34000E+00,10.600
3.34400E+00,10.600
3.34800E+00,10.800
3.35200E+00,11.000
3.35600E+00,10.600
3.36000E+00,10.800
3.36400E+00,10.800
3.36800E+00,10.600
3.37200E+00,10.600
3.37600E+00,10.800
3.38000E+00,11.000
3.38400E+00,10.600
3.38800E+00,10.600
3.39200E+00,10.800
3.39600E+00,10.600
3.40000E+00,10.600
3.40400E+00,11.000
3.40800E+00,10.800
3.41200E+00,10.600
3.41600E+00,10.600
3.42000E+00,10.600
3.42400E+00,11.000
3.42800E+00,10.800
3.43200E+00,10.600
3.43600E+00,10.600
3.44000E+00,10.600
3.44400E+00,10.600
3.44800E+00,10.800
3.45200E+00,10.800
3.45600E+00,10.800
3.46000E+00,11.000
3.46400E+00,10.800
3.46800E+00,10.800
3.47200E+00,10.600
3.47600E+00,10.800
3.48000E+00,10.800
3.48400E+00,10.800
3.48800E+00,10.800
3.49200E+00,10.800
3.49600E+00,10.600
3.50000E+00,10.600
3.50400E+00,10.800
3.50800E+00,10.600
3.51200E+00,10.600
3.51600E+00,10.800
3.52000E+00,10.800
3.52400E+00,10.800
3.52800E+00,11.000
3.53200E+00,10.800
3.53600E+00,10.600
3.54000E+00,10.600
3.54400E+00,10.800
3.54800E+00,11.000
3.55200E+00,10.800
3.55600E+00,10.600
3.56000E+00,10.600
3.56400E+00,10.800
3.56800E+00,10.800
3.57200E+00,10.600
3.57600E+00,10.800
3.58000E+00,10.800
3.58400E+00,10.800
3.58800E+00,10.800
3.59200E+00,10.800
3.59600E+00,10.800
3.60000E+00,10.800
3.60400E+00,10.600
3.60800E+00,10.800
3.61200E+00,10.800
3.61600E+00,10.800
3.62000E+00,11.000
3.62400E+00,10.600
3.62800E+00,10.800
3.63200E+00,10.600
3.63600E+00,10.800
3.64000E+00,10.800
3.64400E+00,10.800
3.64800E+00,10.800
3.65200E+00,11.000
3.65600E+00,10.800
3.66000E+00,10.600
3.66400E+00,10.800
3.66800E+00,11.000
3.67200E+00,10.800
3.67600E+00,10.600
3.68000E+00,10.800
3.68400E+00,10.600
3.68800E+00,10.600
3.69200E+00,10.600
3.69600E+00,10.600
3.70000E+00,10.800
3.70400E+00,10.600
3.70800E+00,10.800
3.71200E+00,10.800
3.71600E+00,10.600
3.72000E+00,10.800
3.72400E+00,10.600
3.72800E+00,10.800
3.73200E+00,10.800
3.73600E+00,10.800
3.74000E+00,11.000
3.74400E+00,10.800
3.74800E+00,10.600
3.75200E+00,10.800
3.75600E+00,10.800
3.76000E+00,10.600
3.76400E+00,10.600
3.76800E+00,10.600
3.77200E+00,10.800
3.77600E+00,10.800
3.78000E+00,10.800
3.78400E+00,11.000
3.78800E+00,10.800
3.79200E+00,11.000
3.79600E+00,10.800
3.80000E+00,10.600
3.80400E+00,10.800
3.80800E+00,10.800
3.81200E+00,10.800
3.81600E+00,10.800
3.82000E+00,10.800
3.82400E+00,11.000
3.82800E+00,11.000
3.83200E+00,10.600
3.83600E+00,10.600
3.84000E+00,10.800
3.84400E+00,11.000
3.84800E+00,10.800
3.85200E+00,11.000
3.85600E+00,11.000
3.86000E+00,10.600
3.86400E+00,11.000
3.86800E+00,10.800
3.87200E+00,10.800
3.87600E+00,10.600
3.88000E+00,10.800
3.88400E+00,11.000
3.88800E+00,10.800
3.89200E+00,10.600
3.89600E+00,10.800
3.90000E+00,10.800
3.90400E+00,11.000
3.90800E+00,11.000
3.91200E+00,10.600
3.91600E+00,11.000
3.92000E+00,10.800
3.92400E+00,10.800
3.92800E+00,10.600
3.93200E+00,10.800
3.93600E+00,10.800
3.94000E+00,11.000
3.94400E+00,10.800
3.94800E+00,11.000
3.95200E+00,10.600
3.95600E+00,10.600
3.96000E+00,10.600
3.96400E+00,10.600
3.96800E+00,10.800
3.97200E+00,10.800
3.97600E+00,10.800
3.98000E+00,10.800
3.98400E+00,11.000
3.98800E+00,11.000
3.99200E+00,10.800
3.99600E+00,10.600
4.00000E+00,10.600
4.00400E+00,10.800
4.00800E+00,11.000
4.01200E+00,10.800
4.01600E+00,10.800
4.02000E+00,10.800
4.02400E+00,10.800
4.02800E+00,11.000
4.03200E+00,10.800
4.03600E+00,10.800
4.04000E+00,10.800
4.04400E+00,10.800
4.04800E+00,10.800
4.05200E+00,10.800
4.05600E+00,10.800
4.06000E+00,10.800
4.06400E+00,10.600
4.06800E+00,11.000
4.07200E+00,11.000
4.07600E+00,10.600
4.08000E+00,10.800
4.08400E+00,10.800
4.08800E+00,11.000
4.09200E+00,10.600
4.09600E+00,10.800
4.10000E+00,11.000
4.10400E+00,10.600
4.10800E+00,10.600
4.11200E+00,10.600
4.11600E+00,11.000
4.12000E+00,10.800
4.12400E+00,11.000
4.12800E+00,10.800
4.13200E+00,10.800
4.13600E+00,10.800
4.14000E+00,10.600
4.14400E+00,10.600
4.14800E+00,11.000
4.15200E+00,11.000
4.15600E+00,10.800
4.16000E+00,10.800
4.16400E+00,10.600
4.16800E+00,11.000
4.17200E+00,10.800
4.17600E+00,11.000
4.18000E+00,11.000
4.18400E+00,10.600
4.18800E+00,10.800
4.19200E+00,10.800
4.19600E+00,10.600
4.20000E+00,10.800
4.20400E+00,10.800
4.20800E+00,11.000
4.21200E+00,11.000
4.21600E+00,10.800
4.22000E+00,11.000
4.22400E+00,10.800
4.22800E+00,10.800
4.23200E+00,10.800
4.23600E+00,10.800
4.24000E+00,10.800
4.24400E+00,10.800
4.24800E+00,10.800
4.25200E+00,11.000
4.25600E+00,10.800
4.26000E+00,11.000
4.26400E+00,11.000
4.26800E+00,10.800
4.27200E+00,11.000
4.27600E+00,10.800
4.28000E+00,10.800
4.28400E+00,10.800
4.28800E+00,10.800
4.29200E+00,10.800
4.29600E+00,11.000
4.30000E+00,10.800
4.30400E+00,11.000
4.30800E+00,10.800
4.31200E+00,10.800
4.31600E+00,11.000
4.32000E+00,10.800
4.32400E+00,11.000
4.32800E+00,11.000
4.33200E+00,10.600
4.33600E+00,10.800
4.34000E+00,11.000
4.34400E+00,11.000
4.34800E+00,10.800
4.35200E+00,11.000
4.35600E+00,11.000
4.36000E+00,10.800
4.36400E+00,11.000
4.36800E+00,10.800
4.37200E+00,11.000
4.37600E+00,10.800
4.38000E+00,11.000
4.38400E+00,11.000
4.38800E+00,10.800
4.39200E+00,10.800
4.39600E+00,10.800
4.40000E+00,10.800
4.40400E+00,11.000
4.40800E+00,11.000
4.41200E+00,10.800
4.41600E+00,10.800
4.42000E+00,11.000
4.42400E+00,11.000
4.42800E+00,10.800
4.43200E+00,10.800
4.43600E+00,10.800
4.44000E+00,10.600
4.44400E+00,10.800
4.44800E+00,11.000
4.45200E+00,10.800
4.45600E+00,10.800
4.46000E+00,10.800
4.46400E+00,10.800
4.46800E+00,10.800
4.47200E+00,11.000
4.47600E+00,11.000
4.48000E+00,10.800
4.48400E+00,10.800
4.48800E+00,10.800
4.49200E+00,10.800
4.49600E+00,11.000
4.50000E+00,10.800
4.50400E+00,11.000
4.50800E+00,10.800
4.51200E+00,10.800
4.51600E+00,10.800
4.52000E+00,10.800
4.52400E+00,10.800
4.52800E+00,10.800
4.53200E+00,11.000
4.53600E+00,10.800
4.54000E+00,10.600
4.54400E+00,11.000
4.54800E+00,11.000
4.55200E+00,10.800
4.55600E+00,10.800
4.56000E+00,11.000
4.56400E+00,11.000
4.56800E+00,10.800
4.57200E+00,11.000
4.57600E+00,10.800
4.58000E+00,10.800
4.58400E+00,10.800
